rainfall_mm,fertilizer_kg,field_hectares,soil_quality,yield_tons
1388.1,170.8,11.8,2,9.05
2292.9,291.2,22.4,5,18.15
2224.0,119.5,11.0,4,3.89
885.4,112.8,31.5,1,19.28
720.9,268.6,13.1,3,13.05
2220.3,69.0,21.0,2,6.34
1544.0,214.8,29.3,5,21.24
752.5,103.5,26.0,4,20.04
1775.1,293.7,28.8,2,19.53
1907.4,161.1,17.6,2,8.13
1619.4,153.6,29.4,1,17.49
1191.5,89.8,30.6,2,21.77
2209.3,191.7,10.8,5,7.13
2388.7,77.3,33.5,2,15.92
943.3,161.1,12.9,3,9.56
2330.5,231.1,30.6,2,17.55
1082.4,208.7,25.5,5,19.19
1502.5,89.2,19.9,2,12.63
1006.8,192.0,39.7,3,28.08
1847.7,265.7,29.7,5,19.85
