rainfall_mm,fertilizer_kg,field_hectares,soil_quality,yield_tons
1110.4,173.5,7.4,5,9.79
351.0,212.2,17.4,3,21.5
1061.6,119.0,18.5,1,13.06
204.0,235.8,10.7,5,21.36
292.3,86.9,2.3,3,13.24
1061.8,236.3,4.9,2,10.3
1130.1,255.3,1.2,5,6.58
850.0,211.5,10.3,1,11.3
263.9,196.3,1.3,4,12.06
863.6,207.3,2.9,4,11.21
763.8,77.6,9.4,3,8.84
995.1,105.8,9.2,4,9.72
740.9,156.0,8.6,1,10.3
939.2,76.9,3.5,5,8.78
640.1,141.7,12.6,4,11.83
732.6,55.3,8.7,4,9.78
594.1,166.5,3.3,2,9.93
1079.7,136.1,8.1,4,10.1
775.2,215.0,19.7,5,21.37
743.4,279.2,7.2,3,13.19
706.9,244.2,2.9,5,11.32
1086.8,222.6,7.6,3,7.9
802.8,133.1,9.2,1,10.59
624.0,153.5,16.7,2,15.92
371.6,125.2,1.8,5,12.91
